age,job,marital,education,balance,y,sub_prob,decile
58,management,married,tertiary,2143,0,0.20218354,2
44,technician,single,secondary,29,0,0.15482076,1
33,entrepreneur,married,secondary,2,0,0.12869573,1
47,blue-collar,married,unknown,1506,0,0.20572552,2
33,unknown,single,unknown,1,0,0.14885354,1
35,management,married,tertiary,231,0,0.1855554,2
28,management,single,tertiary,447,0,0.23490027,3
42,entrepreneur,divorced,tertiary,2,0,0.22583956,3
58,retired,married,primary,121,0,0.11906344,1
43,technician,single,secondary,593,0,0.2644646,4
41,admin.,divorced,secondary,270,0,0.22133227,3
29,admin.,single,secondary,390,0,0.25802028,4
53,technician,married,secondary,6,0,0.0982765,1
58,technician,married,unknown,71,0,0.12073087,1
57,services,married,secondary,162,0,0.13295856,1
51,retired,married,primary,229,0,0.12908356,1
45,admin.,single,unknown,13,0,0.14761874,1
57,blue-collar,married,primary,52,0,0.114555165,1
60,retired,married,primary,60,0,0.16781107,2
33,services,married,secondary,0,0,0.122065775,1
28,blue-collar,married,secondary,723,0,0.18377158,2
56,management,married,tertiary,779,0,0.19273399,2
32,blue-collar,single,primary,23,0,0.14463565,1
25,services,married,secondary,50,0,0.17864074,2
40,retired,married,primary,0,0,0.1091939,1
44,admin.,married,secondary,-372,0,0.07766611,1
39,management,single,tertiary,255,0,0.24454582,3
52,entrepreneur,married,secondary,113,0,0.14241666,1
46,management,single,secondary,-246,0,0.123772636,1
36,technician,single,secondary,265,0,0.20362565,2
57,technician,married,secondary,839,0,0.18326394,2
49,management,married,tertiary,378,0,0.1637702,1
60,admin.,married,secondary,39,0,0.20666267,2
59,blue-collar,married,secondary,0,0,0.12967995,1
51,management,married,tertiary,10635,0,0.19449267,2
57,technician,divorced,secondary,63,0,0.18906653,2
25,blue-collar,married,secondary,-7,0,0.1383984,1
53,technician,married,secondary,-3,0,0.122648716,1
36,admin.,divorced,secondary,506,0,0.24059047,3
37,admin.,single,secondary,0,0,0.17181087,2
44,services,divorced,secondary,2586,0,0.27159676,4
50,management,married,secondary,49,0,0.12157191,1
60,blue-collar,married,unknown,104,0,0.20137013,2
54,retired,married,secondary,529,0,0.14165255,1
58,retired,married,unknown,96,0,0.12623212,1
36,admin.,single,primary,-171,0,0.11966453,1
58,self-employed,married,tertiary,-364,0,0.13057712,1
44,technician,married,secondary,0,0,0.1127713,1
55,technician,divorced,secondary,0,0,0.19207795,2
29,management,single,tertiary,0,0,0.21696462,3
54,blue-collar,married,secondary,1291,0,0.17727597,2
48,management,divorced,tertiary,-244,0,0.15117685,1
32,management,married,tertiary,0,0,0.14828376,1
42,admin.,single,secondary,-76,0,0.15430282,1
24,technician,single,secondary,-103,0,0.18531539,2
38,entrepreneur,single,tertiary,243,0,0.26190498,4
38,management,single,tertiary,424,0,0.24675332,3
47,blue-collar,married,unknown,306,0,0.1534761,1
40,blue-collar,single,unknown,24,0,0.15018848,1
46,services,married,primary,179,0,0.13555121,1
32,admin.,married,tertiary,0,0,0.15463312,1
53,technician,divorced,secondary,989,0,0.26691413,4
57,blue-collar,married,primary,249,0,0.12005281,1
33,services,married,secondary,790,0,0.1921352,2
49,blue-collar,married,unknown,154,0,0.14572589,1
51,management,married,tertiary,6530,0,0.20328954,2
60,retired,married,tertiary,100,0,0.25322956,4
59,management,divorced,tertiary,59,0,0.25182453,4
55,technician,married,secondary,1205,0,0.15803581,1
35,blue-collar,single,secondary,12223,0,0.20053457,2
57,blue-collar,married,secondary,5935,0,0.1340898,1
31,services,married,secondary,25,0,0.09660864,1
54,management,married,secondary,282,0,0.12852535,1
55,blue-collar,married,primary,23,0,0.087078474,1
43,technician,married,secondary,1937,0,0.18284303,2
53,technician,married,secondary,384,0,0.13889028,1
44,blue-collar,married,secondary,582,0,0.17517142,2
55,services,divorced,secondary,91,0,0.19880244,2
